t=2026-02-15T17:43:34+0000 lvl=info msg="no configuration paths supplied"
t=2026-02-15T17:43:34+0000 lvl=info msg="using configuration at default config path" path=/home/noclout/.config/ngrok/ngrok.yml
t=2026-02-15T17:43:34+0000 lvl=info msg="open config file" path=/home/noclout/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T17:43:34+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T17:43:34+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T17:43:34+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=c6135911b554 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=33f27927d54a l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=8c04f0298177 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=1acc216a2364 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=438e379c68b6 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=116a7874e84e l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=2bec77a0c047 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=496fab7261df l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=2ed453f376dc l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:01+0000 lvl=info msg="join connections" obj=join id=f0921df69580 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52902
t=2026-02-15T17:46:07+0000 lvl=info msg="join connections" obj=join id=52817188888b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:07+0000 lvl=info msg="join connections" obj=join id=3e3d2c4ed35f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
